mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_br__alpha_1,param_br__alpha_2,param_br__lambda_1,param_br__lambda_2,param_br__max_iter,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
0.14989032745361328,0.028552511330718625,0.026762008666992188,0.008364745370471298,1e-06,1e-06,1e-06,1e-06,100,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 1e-06, 'br__max_iter': 100}",-0.017286032014761244,-0.021860671061592174,-0.04020832405911172,-0.01862799921747262,-0.01671207670144557,-0.022939020610876666,0.008817116255455233,70,-0.012758711047229844,-0.011586108722516811,-0.009880891630934202,-0.01201844681464431,-0.012786293750706498,-0.011806090393206334,0.0010647217657159282,0.8850805400046567,0.8497227247891256,0.7864447882237688,0.8724537403786503,0.8695900174921278,0.8526583621776659,0.03499311620155588,70,0.9165772588318293,0.9246207688535996,0.9308574082020736,0.9219426928515655,0.9193043806770631,0.9226605018832263,0.004895233705837914
0.17353391647338867,0.010479857907486657,0.05195684432983398,0.024549901475136585,1e-06,1e-06,1e-06,1e-06,300,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 1e-06, 'br__max_iter': 300}",-0.017286032014761244,-0.021860671061592174,-0.04020832405911172,-0.01862799921747262,-0.01671207670144557,-0.022939020610876666,0.008817116255455233,70,-0.012758711047229844,-0.011586108722516811,-0.009880891630934202,-0.01201844681464431,-0.012786293750706498,-0.011806090393206334,0.0010647217657159282,0.8850805400046567,0.8497227247891256,0.7864447882237688,0.8724537403786503,0.8695900174921278,0.8526583621776659,0.03499311620155588,70,0.9165772588318293,0.9246207688535996,0.9308574082020736,0.9219426928515655,0.9193043806770631,0.9226605018832263,0.004895233705837914
0.1548823356628418,0.014331432558323393,0.051204252243041995,0.019916219234461296,1e-06,1e-06,1e-06,1e-06,500,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 1e-06, 'br__max_iter': 500}",-0.017286032014761244,-0.021860671061592174,-0.04020832405911172,-0.01862799921747262,-0.01671207670144557,-0.022939020610876666,0.008817116255455233,70,-0.012758711047229844,-0.011586108722516811,-0.009880891630934202,-0.01201844681464431,-0.012786293750706498,-0.011806090393206334,0.0010647217657159282,0.8850805400046567,0.8497227247891256,0.7864447882237688,0.8724537403786503,0.8695900174921278,0.8526583621776659,0.03499311620155588,70,0.9165772588318293,0.9246207688535996,0.9308574082020736,0.9219426928515655,0.9193043806770631,0.9226605018832263,0.004895233705837914
0.1550455093383789,0.01150119627531132,0.05037369728088379,0.012481372147809405,1e-06,1e-06,1e-06,1e-05,100,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 1e-05, 'br__max_iter': 100}",-0.017286093101370803,-0.02186074659182531,-0.04020828945261146,-0.018628159462331678,-0.01671231011837738,-0.022939119745303327,0.008817044379680741,151,-0.012758609618128932,-0.011585984375317035,-0.009880741462589873,-0.012018349781479058,-0.012786119524882051,-0.011805960952479391,0.0010647271106394018,0.8850801338940943,0.8497222055700403,0.7864449720264681,0.8724526431790983,0.8695881960609234,0.852657630146125,0.034992679706391305,151,0.9165779220252821,0.924621577856565,0.9308584590210606,0.92194332306175,0.9193054802342201,0.9226613524397755,0.004895316333911115
0.16269207000732422,0.013324053717718911,0.038412857055664065,0.010261590764720175,1e-06,1e-06,1e-06,1e-05,300,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 1e-05, 'br__max_iter': 300}",-0.017286093101370803,-0.02186074659182531,-0.04020828945261146,-0.018628159462331678,-0.01671231011837738,-0.022939119745303327,0.008817044379680741,151,-0.012758609618128932,-0.011585984375317035,-0.009880741462589873,-0.012018349781479058,-0.012786119524882051,-0.011805960952479391,0.0010647271106394018,0.8850801338940943,0.8497222055700403,0.7864449720264681,0.8724526431790983,0.8695881960609234,0.852657630146125,0.034992679706391305,151,0.9165779220252821,0.924621577856565,0.9308584590210606,0.92194332306175,0.9193054802342201,0.9226613524397755,0.004895316333911115
0.15215749740600587,0.016386737723649552,0.04049010276794433,0.008144434139467012,1e-06,1e-06,1e-06,1e-05,500,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 1e-05, 'br__max_iter': 500}",-0.017286093101370803,-0.02186074659182531,-0.04020828945261146,-0.018628159462331678,-0.01671231011837738,-0.022939119745303327,0.008817044379680741,151,-0.012758609618128932,-0.011585984375317035,-0.009880741462589873,-0.012018349781479058,-0.012786119524882051,-0.011805960952479391,0.0010647271106394018,0.8850801338940943,0.8497222055700403,0.7864449720264681,0.8724526431790983,0.8695881960609234,0.852657630146125,0.034992679706391305,151,0.9165779220252821,0.924621577856565,0.9308584590210606,0.92194332306175,0.9193054802342201,0.9226613524397755,0.004895316333911115
0.15384178161621093,0.013771212280408581,0.035327482223510745,0.007077156558058629,1e-06,1e-06,1e-06,0.0001,100,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 0.0001, 'br__max_iter': 100}",-0.017286702930347442,-0.021861501364554878,-0.04020794641082105,-0.01862976053073476,-0.016714643235992255,-0.022940110894490075,0.008816327255399357,232,-0.012757596957022272,-0.011584742802108847,-0.009879243066681783,-0.01201738047479064,-0.012784379651651434,-0.011804668590450994,0.0010647801069661167,0.8850760796833521,0.8497170170198406,0.7864467939965181,0.8724416806337478,0.8695699899556751,0.8526503122578267,0.03498832433785123,232,0.9165845433027041,0.924629655532693,0.9308689442060514,0.921949618506666,0.9193164607537221,0.9226698444603674,0.004896139172178885
0.13524727821350097,0.007411354843796351,0.028253936767578126,0.002464019718373442,1e-06,1e-06,1e-06,0.0001,300,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 0.0001, 'br__max_iter': 300}",-0.017286702930347442,-0.021861501364554878,-0.04020794641082105,-0.01862976053073476,-0.016714643235992255,-0.022940110894490075,0.008816327255399357,232,-0.012757596957022272,-0.011584742802108847,-0.009879243066681783,-0.01201738047479064,-0.012784379651651434,-0.011804668590450994,0.0010647801069661167,0.8850760796833521,0.8497170170198406,0.7864467939965181,0.8724416806337478,0.8695699899556751,0.8526503122578267,0.03498832433785123,232,0.9165845433027041,0.924629655532693,0.9308689442060514,0.921949618506666,0.9193164607537221,0.9226698444603674,0.004896139172178885
0.13235578536987305,0.01576571214712867,0.048991155624389646,0.01844260575804958,1e-06,1e-06,1e-06,0.0001,500,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-06, 'br__lambda_2': 0.0001, 'br__max_iter': 500}",-0.017286702930347442,-0.021861501364554878,-0.04020794641082105,-0.01862976053073476,-0.016714643235992255,-0.022940110894490075,0.008816327255399357,232,-0.012757596957022272,-0.011584742802108847,-0.009879243066681783,-0.01201738047479064,-0.012784379651651434,-0.011804668590450994,0.0010647801069661167,0.8850760796833521,0.8497170170198406,0.7864467939965181,0.8724416806337478,0.8695699899556751,0.8526503122578267,0.03498832433785123,232,0.9165845433027041,0.924629655532693,0.9308689442060514,0.921949618506666,0.9193164607537221,0.9226698444603674,0.004896139172178885
0.13722434043884277,0.017407032760769364,0.03457860946655274,0.012923865951516155,1e-06,1e-06,1e-05,1e-06,100,"{'br__alpha_1': 1e-06, 'br__alpha_2': 1e-06, 'br__lambda_1': 1e-05, 'br__lambda_2': 1e-06, 'br__max_iter': 100}",-0.01728603183853064,-0.021860670799245377,-0.040208324133266915,-0.018627998308417368,-0.016712075833466213,-0.022939020182585302,0.00881711652501174,64,-0.012758711339843326,-0.011586109154457168,-0.009880891952523792,-0.012018447365114916,-0.01278629439863345,-0.011806090842114531,0.0010647218251874245,0.8850805411762573,0.8497227265925817,0.7864447878299144,0.8724537466029687,0.8695900242652641,0.8526583652933972,0.03499311789710774,64,0.9165772569185782,0.9246207660433953,0.9308574059517163,0.9219426892763736,0.9193043765879292,0.9226604989555985,0.004895233868199446
