mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_stacking__final_estimator__fit_intercept,param_stacking__gbr__n_estimators,param_stacking__lasso__alpha,param_stacking__ridge__alpha,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
8.662754678726197,0.27629553853284083,0.2472740650177002,0.10479351417538527,True,100,0.001,0.01,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.001, 'stacking__ridge__alpha': 0.01}",-882081463.4234344,-1316222293.3982022,-1433220700.2403698,-962024910.9275352,-493798413.2272039,-1017469556.2433493,333987341.7037821,87,-278142145.5901702,-273546154.31759953,-366695915.74295884,-295582331.41863286,-260617983.4719606,-294916906.1082643,37595709.1475344,0.8703445862816988,0.7507185631166975,0.8033183893502127,0.8203180270794935,0.9017187956806624,0.8292836723017529,0.05264959800426019,95,0.9516603087349808,0.9553348111341906,0.9348381651093416,0.9516510866196336,0.9579570168981707,0.9502882776992635,0.008083597676386032
8.439040040969848,0.456118076742759,0.1559056282043457,0.1070261898784597,True,100,0.001,0.1,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.001, 'stacking__ridge__alpha': 0.1}",-866680286.0711018,-1307140564.9409263,-1460633636.262637,-781227497.4843901,-470052012.28139436,-977146799.4080899,360662654.9196147,55,-301605857.02480996,-280164465.2534049,-377856331.81526023,-316517261.5066131,-278034465.1155198,-310835676.1431216,36402969.335595414,0.8726083749499423,0.7524385661363765,0.7995564981016459,0.8540864207846705,0.9064450662005521,0.8370269852346374,0.05465376044130017,62,0.9475824349403591,0.954254159466256,0.9328549600661632,0.9482267238825584,0.9551473840644017,0.9476131324839476,0.007988107111375101
8.785970306396484,1.0817998788126602,0.045817232131958006,0.02487090951718306,True,100,0.001,1.0,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.001, 'stacking__ridge__alpha': 1.0}",-863275201.1932483,-1296369591.310321,-1613377230.1521258,-670992584.2240454,-453134103.2191481,-979429742.0197777,421414936.34229916,57,-317920054.08989984,-287592531.12730265,-450309388.8630945,-329899185.84744143,-297098553.06542003,-336563942.5986317,58797544.5400277,0.8731088816569652,0.7544784979903929,0.7785954164918258,0.8746755203748697,0.9098122549817714,0.8381341142991652,0.06039765432205371,48,0.9447471104062444,0.9530412893164527,0.9199800576252432,0.9460378193641047,0.9520719588122696,0.9431756471048628,0.012043024175834341
6.729707336425781,1.7918040339828287,0.0796576976776123,0.044004579880748816,True,100,0.001,10.0,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.001, 'stacking__ridge__alpha': 10.0}",-867651766.5324845,-1315654981.5858123,-1815943281.9288554,-667335662.7809045,-463450374.61070794,-1026007213.4877529,485404315.51904535,89,-326647191.1279413,-274051013.3349462,-530468274.36233777,-326886175.4322185,-306838604.2037697,-352978251.69224274,90813220.80677542,0.8724655789539228,0.7508260072045714,0.7507971734719382,0.875358541003811,0.9077589969127118,0.831441259509391,0.06699015891770249,85,0.9432303783441137,0.9552523766966945,0.9057358300849991,0.9465306626909726,0.9505006903987656,0.940249987643109,0.017718381777315287
6.809508228302002,0.42007799670647916,0.05076165199279785,0.034961086477735694,True,100,0.01,0.01,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.01, 'stacking__ridge__alpha': 0.01}",-882070670.9909335,-1316222194.2539198,-1433773754.9471385,-793518259.3958043,-493827159.0809074,-983882407.7337408,346297630.2099017,64,-278141847.30135655,-273538162.0064238,-366854996.41258913,-295558289.08362716,-260609814.3647546,-294940621.83375025,37658803.05538372,0.8703461726400555,0.750718581893791,0.8032424933695821,0.8517908166648043,0.9017130743639358,0.8355622277864336,0.053089045763914725,69,0.9516603605760605,0.9553361161354947,0.9348098964870752,0.9516550192659696,0.9579583347413665,0.9502839454411933,0.008094951920127649
7.735009288787841,0.8220280717804304,0.03281526565551758,0.01438273099238822,True,100,0.01,0.1,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.01, 'stacking__ridge__alpha': 0.1}",-866631718.7007635,-1307088868.099303,-1463176698.7941494,-714617710.0099927,-470063393.1976432,-964315677.7603705,369467814.5857085,32,-301710835.2830758,-280171647.31862617,-378932660.3241464,-316517485.118969,-277985308.9198749,-311063587.3929385,36801941.52832865,0.8726155137718714,0.7524483570835644,0.7992075123281379,0.8665274479277991,0.9064428010451258,0.8394483264312997,0.055695455024771,37,0.9475641902526174,0.9542529867636079,0.9326636965762439,0.9482266873058984,0.95515531395886,0.9475725749714454,0.008060129285769803
6.68200101852417,0.6476036942660695,0.040707874298095706,0.014267744363689577,True,100,0.01,1.0,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.01, 'stacking__ridge__alpha': 1.0}",-863272124.3241538,-1296387155.030424,-1618434196.154061,-667325584.1711693,-453135376.7583763,-979710887.287637,423479788.2434438,58,-317917046.1790211,-287577708.51098233,-452909949.80116916,-329892695.8854033,-297086503.57818884,-337076780.790953,59808711.702243835,0.8731093339198819,0.7544751715694635,0.7779014464576957,0.8753604234337367,0.9098120015079535,0.8381316753777461,0.060619430116467504,49,0.9447476331658676,0.9530437095842831,0.9195179381546007,0.9460388809384245,0.9520739026397111,0.9430844128965774,0.012221885543518655
6.274969959259034,0.30061021064696253,0.030758428573608398,0.012832570096520063,True,100,0.01,10.0,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.01, 'stacking__ridge__alpha': 10.0}",-867649784.456298,-1315667353.3703012,-1817236396.0572472,-667900024.1755528,-463449585.678276,-1026380628.747535,485743726.2105911,90,-326642750.7108302,-274048290.24560606,-531134262.1097412,-326883137.4472969,-306830452.9199342,-353107778.6866817,91075300.6106092,0.8724658702953902,0.7508236640925988,0.7506197187578921,0.8752531325391457,0.9077591539347424,0.831384307923954,0.0670197311854554,86,0.9432311500660395,0.9552528213284239,0.9056174841155666,0.9465311596194227,0.950502005366689,0.9402269240992283,0.017764779636864025
5.794451427459717,0.2831181087605459,0.038792896270751956,0.034690502196119605,True,100,0.1,0.01,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.1, 'stacking__ridge__alpha': 0.01}",-881948225.165769,-1316306486.1375337,-1434125102.710602,-748413962.2516891,-494061974.73049337,-974971150.1992174,351734906.6298164,53,-278120174.69875455,-273447428.330798,-366978822.5721557,-294906079.22637206,-260581817.05857533,-294806864.37733114,37722211.96559901,0.870364170710277,0.7507026177196768,0.803194277736076,0.8602151609889378,0.9016663387645167,0.837228513183897,0.05370968424963934,61,0.9516641271642432,0.9553509313200417,0.9347878925884268,0.9517617023608045,0.9579628512764686,0.9503055009419971,0.008109919095074051
6.035178375244141,0.33759665567717245,0.03592119216918945,0.023869910282519582,True,100,0.1,0.1,"{'stacking__final_estimator__fit_intercept': True, 'stacking__gbr__n_estimators': 100, 'stacking__lasso__alpha': 0.1, 'stacking__ridge__alpha': 0.1}",-866151949.495468,-1306727810.2692676,-1467765784.043237,-694163807.9894984,-470115701.58977765,-960985010.6774498,373498160.1089923,19,-302501020.710581,-280105639.4444357,-380841543.96707183,-316291036.6396136,-277574184.4441508,-311462685.0411706,37546625.02506018,0.8726860341006406,0.7525167384011584,0.7985777498093238,0.8703477205914474,0.9064323900522241,0.8401121265909589,0.056163483558881865,31,0.9474268600413808,0.9542637646675222,0.932324488105613,0.9482637278754782,0.9552216367012715,0.947500095478253,0.008200694809057033
