mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbr__learning_rate,param_gbr__max_depth,param_gbr__n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
1.4470072269439698,0.09618582071297829,0.07100110054016114,0.043636320223132116,0.01,3,100,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 3, 'gbr__n_estimators': 100}",-2635241492.937652,-2132024526.5136118,-3127814389.8930216,-1939752561.2965267,-1661008616.5215902,-2299168317.432481,522295707.27062213,27,-1995153627.191244,-1912557729.4664032,-1831878685.922174,-1953743241.2450016,-2050705472.0655785,-1948807751.17808,74218481.7729543,0.6126510530122677,0.5962124786174194,0.5707684295136353,0.6377031787510341,0.66940775254896,0.6173485784886633,0.03394990161277514,27,0.6532524398268809,0.6877135691544085,0.6744753040678801,0.6804228375726376,0.6691794850060377,0.673008727125569,0.011647542605893084
1.8940520763397217,0.41295956352360624,0.08614902496337891,0.05328815054201717,0.01,3,200,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 3, 'gbr__n_estimators': 200}",-1595939808.8653016,-1569156900.9315717,-2123669833.6276355,-1206810320.4128149,-885591660.3162011,-1476233704.8307052,415592299.59366685,24,-1003726209.2507937,-915841401.853629,-886490484.0297983,-960789092.8365788,-996067512.234146,-952582940.0409892,45369673.39083988,0.7654159567248423,0.7028148748721791,0.7085677011948002,0.7745982906996294,0.8237397841313212,0.7550273215245544,0.04493770132054992,24,0.8255574862024571,0.8504594981897424,0.8424707119100256,0.8428420656829954,0.8393140449202852,0.840128761381101,0.008155448470406971
1.9682075023651122,0.24493490892439124,0.022505998611450195,0.003142165842458015,0.01,3,300,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 3, 'gbr__n_estimators': 300}",-1245797009.431922,-1496783178.022226,-1678470268.451195,-1034253694.0663078,-684110369.7625707,-1227882903.9468443,348952170.2114117,17,-671815740.4440001,-587444950.4579269,-582743330.6125795,-620491369.0039214,-661266987.9402018,-624752475.691726,36668889.35717287,0.8168827558851215,0.7165218495450184,0.7696626655117416,0.8068275133634722,0.8638408119050052,0.7947471192420718,0.04931183090425096,16,0.8832418387686768,0.9040807584156147,0.8964465567715056,0.8985051531691639,0.8933241811275139,0.8951196976504949,0.006896809196037678
1.2689486503601075,0.17622430608154147,0.021919775009155273,0.006095954716492275,0.01,5,100,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 5, 'gbr__n_estimators': 100}",-2437729045.4954906,-1950104250.392654,-2779260689.1456246,-1654804755.5666604,-1387935702.7457824,-2041966888.6692424,507211964.91738945,26,-1364412298.8872197,-1343359644.7863164,-1295095263.7027044,-1363530816.3279574,-1423025324.8194246,-1357884669.7047246,41161340.40133874,0.6416830179151902,0.6306666495102078,0.6186006323623972,0.6909242370950921,0.7237577344727142,0.6611264542711204,0.03981175096206547,26,0.7628720769861845,0.7806534242867728,0.7698616752518609,0.7769649051291536,0.7704370631380661,0.7721578289584076,0.006160221876472993
2.4635034084320067,0.3302617210686498,0.02511148452758789,0.008721764886605716,0.01,5,200,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 5, 'gbr__n_estimators': 200}",-1502434276.1536202,-1663322789.8539586,-1715214080.39738,-1033597415.2095945,-769719967.930795,-1336857705.9090695,371688206.8398929,22,-484456262.89054894,-454812887.08431375,-459742588.18711406,-468119526.71269155,-497440197.98397195,-472914292.57172805,15867460.866750618,0.7791601504658953,0.6849806471633004,0.7646202933817713,0.8069500896901565,0.8468018458332445,0.7765026053068735,0.05365361726714505,22,0.915803963725655,0.9257371994466459,0.9183037788600515,0.9234288790535492,0.9197527754631681,0.9206053193098139,0.0035604948606375846
3.4671211719512938,0.6796827850918484,0.023999547958374022,0.00707177655263596,0.01,5,300,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 5, 'gbr__n_estimators': 300}",-1255537600.0870564,-1642859563.607684,-1385443202.871981,-881795919.9797925,-628035105.2425519,-1158734278.3578131,361519453.987414,13,-257852592.4022841,-238854349.22856498,-249319956.63688815,-251555630.37868962,-264387484.8478364,-252394002.69885263,8568718.21268698,0.8154510056855985,0.6888562101799163,0.8098749197810491,0.8353027776978668,0.8750015292785889,0.804897288524604,0.06235509276040801,13,0.9551865299587602,0.9609993617116355,0.9556958636520321,0.9588526102857715,0.9573489196343634,0.9576166570485125,0.0021277650015850435
2.895613765716553,0.6177577229355917,0.01950521469116211,0.0029032982056585574,0.01,7,100,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 7, 'gbr__n_estimators': 100}",-2289686726.288154,-1912341094.5608678,-2565426410.7474184,-1644158031.4903169,-1366400760.031827,-1955602604.6237168,431167106.5656901,25,-1021545772.6396774,-1058505099.1064032,-997662840.4984444,-1075119860.1870654,-1091420375.87848,-1048850789.662014,34528856.111668535,0.6634434662870997,0.6378186737497393,0.6479452198920364,0.6929127764410568,0.7280438561940119,0.6740327985127887,0.03279575114568948,25,0.822460536652189,0.8271650709732972,0.8227153930596971,0.8241407842470948,0.8239316880257116,0.824082694591598,0.0016750003826268003
3.927721118927002,0.3476059347343226,0.022106742858886717,0.002292184587497123,0.01,7,200,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 7, 'gbr__n_estimators': 200}",-1500121727.8976393,-1805224731.99638,-1659425266.4309397,-1089272298.7262344,-839178537.0659041,-1378644512.4234195,360645267.8352404,23,-242291213.73907137,-252282003.74016687,-246819559.40689316,-248047657.9734096,-260570013.50402927,-250002089.67271405,6169034.480104507,0.7795000673707456,0.6581056122917459,0.772276220891973,0.7965514266215005,0.8329774356244666,0.7678821525600863,0.05876137460403706,23,0.9578910184807771,0.958806866166298,0.9561401840397623,0.9594264154017592,0.9579647554299645,0.9580458479037123,0.001108802806140227
6.256141519546508,0.27160855421068125,0.06302032470703126,0.04660511630555547,0.01,7,300,"{'gbr__learning_rate': 0.01, 'gbr__max_depth': 7, 'gbr__n_estimators': 300}",-1292592159.2879367,-1873262013.9929092,-1383399025.5737305,-966846274.2047521,-754552312.7989703,-1254130357.1716597,383046752.7798871,20,-86312250.03529789,-93168013.32995814,-93545231.69797029,-90933448.8758119,-94720105.2757176,-91735809.84295115,2976239.8295979816,0.8100044291475388,0.6452199230713171,0.8101554432785162,0.819417518105166,0.8498206797807124,0.7869235986766501,0.07233847196358308,20,0.9849993696200102,0.9847873316953917,0.9833770198111933,0.9851258584301245,0.9847197199039838,0.9846018598921406,0.000629462063614333
0.5170297622680664,0.040648055773792886,0.020206451416015625,0.006291484380292023,0.05,3,100,"{'gbr__learning_rate': 0.05, 'gbr__max_depth': 3, 'gbr__n_estimators': 100}",-968559361.6806105,-1510569380.0884478,-1309294028.9031508,-970219518.0286968,-590310687.8777146,-1069790595.3157241,316768361.9107294,12,-443935437.0112413,-379759715.43691367,-375269661.4572001,-413229362.97529674,-430657311.2066505,-408570297.6174604,27200066.756900746,0.85763337066165,0.7139108587743344,0.8203249099209686,0.8187874812957825,0.8825098587335797,0.8186332958772631,0.05756890702370117,12,0.9228462773191349,0.9379920384699612,0.9333146111818484,0.9324073581095749,0.9305262138225068,0.9314172997806052,0.004940924105895817
